n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
18,20,17,1,0,1,0,0,0,1,0,0,0.8458054352107128
19,20,15,2,1,1,1,0,0,1,1,0,0.8511006930289442
17,20,13,6,2,0,1,0,0,0,1,0,0.7764753847721945
16,20,14,5,0,0,1,0,0,0,1,0,0.7427495675180624
15,21,14,5,0,1,0,0,0,1,0,0,0.8250553622271433
17,21,14,6,1,0,1,0,0,0,1,0,0.8064127290260367
15,21,14,7,1,0,0,0,0,0,0,0,0.7680265654648957
17,20,16,4,1,0,0,0,0,0,0,0,0.8298916143753565
16,21,16,5,0,0,0,0,0,0,0,0,0.8319317916374679
15,21,15,6,0,0,0,0,0,0,0,0,0.8162799086208969
16,16,15,1,1,0,0,0,0,0,0,0,0.8472639807576668
17,16,14,1,1,0,1,0,0,0,1,0,0.8689901525391002
18,17,15,1,1,0,1,0,0,0,1,0,0.8687016925936797
17,17,15,1,0,0,1,0,0,0,1,0,0.8625111840143156
17,18,15,2,0,0,1,0,0,0,1,0,0.871225404247029
11,14,9,3,1,1,0,0,0,1,0,0,0.8437259430331023
11,14,10,4,1,0,0,0,0,0,0,0,0.8604920778049723
11,14,11,3,0,0,0,0,0,0,0,0,0.87017099430019
12,16,10,5,0,0,1,0,0,0,1,0,0.8598106932719366
12,16,12,4,0,0,0,0,0,0,0,0,0.8652482269503546
10,16,10,6,0,0,0,0,0,0,0,0,0.809025417969281
12,16,9,6,1,0,1,0,0,0,1,0,0.8184581376070738
10,17,10,7,0,0,0,0,0,0,0,0,0.8303341902313625
10,16,10,6,0,0,0,0,0,0,0,0,0.8334956183057449
10,17,10,7,0,0,0,0,0,0,0,0,0.8418779604346615
13,15,12,3,1,0,0,0,0,0,0,0,0.8584245942736509
12,15,12,3,0,0,0,0,0,0,0,0,0.8667878473123863
